Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
COASTAL INVEST REALTY GMBH,AIDLINGEN,DE,6810,LF,1,,TAUSCHFELDSTR. 6,71134,Böblingen,Deutschland,48.68137695,8.871641367274679,Germany
CODEX-ENGINEERING GMBH,FÜRTH,DE,7112,U1,11,,RICHARD-WAGNER-STR. 43,90763,Fürth,Deutschland,49.46360835,11.009981400000004,Germany
COMBIFUEL SWISS AG,WANGEN SZ,CH,3521,LF,4,ILG INTER LEISURE GROUP AG,LEUHOLZ 14,8855,Schwyz,Schweiz,47.194938,8.880352,Switzerland
COMMON SENSE INVEST GMBH & CO. KG,ARZBERG,DE,7112,LF,1,LOOOT FOUNDATION,HAUPTSTR. 15,95659,Wunsiedel,Deutschland,50.0342933,12.1579799,Germany
CREOS DEUTSCHLAND WASSERSTOFF GMBH,HOMBURG,DE,4941,LF,n.v.,GOVERNMENT OF LUXEMBOURG,AM ZUNDERBAUM 9,66424,Saarpfalz,Deutschland,49.332421,7.307509013783177,Germany
DECARB GMBH & CO. KG,ESSEN,DE,9609,LF,2,,ROSWITHASTR. 26,45131,Essen,Deutschland,51.4297023,7.011973998367356,Germany
DEINLAND SOLAR DEVELOPMENT GMBH,HAMBURG,DE,4669,LF,1,MR HANNO SCHOKLITSCH,NEUER WALL 80,20354,"Hamburg, Freie und Hansestadt",Deutschland,53.5506141,9.9877896,Germany
DEUTSCHE REGAS GMBH & CO. KGAA,LUBMIN,DE,3521,LF,1,MR INGO WAGNER,AM HAFEN 10,17509,Vorpommern-Greifswald,Deutschland,54.149869300000006,13.651466277065698,Germany
DEUTSCHE REGAS WASSERSTOFF GMBH,LUBMIN,DE,2011,LF,1,MR INGO WAGNER,AM HAFEN 10,17509,Vorpommern-Greifswald,Deutschland,54.149869300000006,13.651466277065698,Germany
DEUTSCHER WASSERSTOFF- UND BRENNSTOFFZELLEN-VERBAND (DWV) E.V.,BERLIN,DE,9411,LF,14,,MOLTKESTR. 42,12203,Berlin,Deutschland,52.444597,13.309444,Germany
"DGMK DEUTSCHE WISSENSCHAFTLICHE GESELLSCHAFT FÜR NACHHALTIGE ENERGIETRÄGER, MOBILITÄT UND KOHLENSTOFFKREISLÄUFE E.V.",HAMBURG,DE,9412,LF,16,,GROßE ELBSTR.,22767,"Hamburg, Freie und Hansestadt",Deutschland,53.54481345,9.951699737342633,Germany
E2S ENERGY SMART SYSTEMS GMBH,VILLACH,AT,4719,U1,n.v.,,OTHMAR-CRUSIZ-STRAßE 13,9500,Kärnten,Österreich,46.604594,13.8312092,Austria
EAST ENERGY GMBH,ROSTOCK,DE,3511,LF,2,EAST ENERGY VERWALTUNGS GMBH,SCHWARZER WEG 2,18069,Rostock,Deutschland,54.1000118,12.09006,Germany
EBS WASSERSTOFF AG,SCHWYZ,CH,3511,LF,35,BEZIRK SCHWYZ,RIEDSTRASSE 17,6430,Schwyz,Schweiz,47.023221,8.652362,Switzerland
ECOGY-GTL GMBH,PETERSBERG,DE,4669,LF,1,ECOGY-GTL GMBH,MARIENKÜPPEL,36100,Fulda,Deutschland,50.5663137,9.7158677,Germany
EEC - EUROPEAN ENERGY CONSULTING GMBH,BREMEN,DE,3511,LF,1,MRS LORENC KARAMETOVIC,BUNTENTORSTEINWEG 435,28201,Bremen,Deutschland,53.0565051,8.814366070540846,Germany
ELECTROCHAEA GMBH,PLANEGG,DE,2011,U1,25,,SEMMELWEISSTR. 3,82152,"München, Landkreis",Deutschland,48.11085475,11.432260181949784,Germany
ELEKTRO CAR LONG RENT UG (HAFTUNGSBESCHRÄNKT),BRAUNSCHWEIG,DE,7711,LF,1,ANDREA GATTERMANN,WILHELMSTR. 74,38100,Braunschweig,Deutschland,52.269144,10.5260772,Germany
ELEKTROLYSE MITTELDEUTSCHLAND GMBH,DÜSSELDORF,DE,3511,LF,5,BUNDESREPUBLIK DEUTSCHLAND,HOLZSTR. 6,40221,Düsseldorf,Deutschland,51.2129363,6.747918,Germany
ELEKTROTECHNIK SCHEINGRABER GMBH,WINZER,DE,4321,LF,1,DOMINIK SCHEINGRABER,XAVER-BAUER-STR. 10,94577,Bayern,Deutschland,48.72277215,13.07800024887677,Germany
ELOGEN GMBH,KÖLN,DE,2899,NRLF,2,GAZTRANSPORT ET TECHNIGAZ,EUPENER STR. 165,50933,Köln,Deutschland,50.9463254,6.8896065,Germany
EMB KONSTRUKTION GMBH,APEN,DE,2511,LF,3,MR BORIS CZESNIK,SÜDGEORGSFEHNER STR.,26689,Ammerland,Deutschland,53.221519,7.754775,Germany
ENBW INTERNATIONAL MARKETS GMBH,KARLSRUHE,DE,8299,NRLF,1,ENBW ENERGIE BADEN-WÜRTTEMBERG AG,DURLACHER ALLEE 93,76131,Karlsruhe,Deutschland,49.0056459,8.4368911,Germany
ENBW NEUE ENERGIEN GMBH,STUTTGART,DE,6420,U1,1,ENBW ENERGIE BADEN-WÜRTTEMBERG AG,SCHELMENWASENSTR. 15,70567,Stuttgart,Deutschland,48.7124085,9.1674939,Germany
ENERCOLL AG,GRÜNWALD,DE,7112,LF,1,,PORTENLÄNGERSTR.,82031,"München, Landkreis",Deutschland,48.04517885,11.53513315,Germany
ENERGIEPARK EMDEN GMBH & CO. KG,EMDEN,DE,3511,LF,5,ENERGIEPARK EMDEN GMBH & CO. KG,NESSERLANDER STR. 5,26721,Emden,Deutschland,53.362155,7.2034007,Germany
ENERGIEPARK FLUMM GMBH & CO. KG,GROßEFEHN,DE,3511,LF,2,,POSTWEG 6,26629,Aurich,Deutschland,53.37290495,7.616251292249792,Germany
ENERGIEPARK LAUSITZ UMSPANNWERK GMBH & CO. KG,REUßENKÖGE,DE,2711,LF,4,,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany
ENERGIEPARK LAUSITZ WASSERSTOFF GMBH & CO. KG,REUßENKÖGE,DE,3511,LF,4,,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany
ENERGY CASTLE GMBH,THALWIL,CH,7490,LF,1,,ALTE LANDSTRASSE 195,8800,Zürich,Schweiz,47.30034,8.557812,Switzerland
ENERGY EFFICIENT GREEN TECHNOLOGIES (EEGT) GMBH,FROHBURG,DE,5210,LF,1,MR RAVIL VALIEV,FRIEDENSSTR. 17,04654,Leipziger Land,Deutschland,51.016596,12.602413,Germany
ENERGY EXCHANGE SOLUTIONS GMBH,ROTH,DE,7022,LF,2,ENERGY EXCHANGE SOLUTIONS TOV,GARTENSTR. 15,91154,Roth,Deutschland,49.24536115,11.09607123475313,Germany
ENERGY ONE SOLAR 8 GMBH & CO. KG,DRESDEN,DE,3511,U1,n.v.,MR JOERG KUNTZSCH,MORITZBURGER WEG 67,01109,Dresden,Deutschland,51.1078899,13.759847,Germany
ENERGY TRANSFORMATION GMBH,HURDEN,CH,3511,LF,4,MR CLAUS-DIETER FLORE,SEEFELDWEG 9,8640,Schwyz,Schweiz,47.208259,8.795422,Switzerland
ENER-NET ENERGIESYSTEME GMBH,ALTENSTADT,DE,3511,LF,1,MR HERBERT HANDKE,FABRIKSTR. 7,89281,Kempten im Allgäu,Deutschland,48.158854,10.106327,Germany
ENERTRAG ENERGIEWERK BARNIM GMBH & CO. KG,SCHENKENBERG,DE,3511,LF,3,MR MUELLER JUERGEN,DAUERTHAL 3,17291,Uckermark,Deutschland,53.3644756,13.969187150782016,Germany
ENERTRAG WASSERSTOFF VERWALTUNGSGESELLSCHAFT MBH,SCHENKENBERG,DE,7010,LF,4,MR MUELLER JUERGEN,DAUERTHAL 3,17291,Uckermark,Deutschland,53.3644756,13.969187150782016,Germany
ENNOBLE POWER UG (HAFTUNGSBESCHRÄNKT),MAINZ,DE,3511,U1,n.v.,,HINTER DEN WIESEN 18,55127,Mainz,Deutschland,49.9620356,8.225741266044775,Germany
ENREGO ENERGY GMBH,WESTERSTEDE,DE,6420,LF,2,,PETERSTR. 20 A,26655,Ammerland,Deutschland,53.2553948,7.927904,Germany
ENROI RENEWABLE ENERGY CONSULTING UG (HAFTUNGSBESCHRÄNKT),BERLIN,DE,7112,NRLF,1,,NEUFÄHRER STEIG,13503,Frankfurt (Oder),Deutschland,52.617562,13.224396,Germany
ENTEC HYDROGEN GMBH,CUXHAVEN,DE,4329,LF,1,MR JOCHEN KAUFHOLT,HELGOLÄNDER KAI,27472,Cuxhaven,Deutschland,53.86880865,8.709189511328123,Germany
ENTWICKLUNGSGESELLSCHAFT DER SAMTGEMEINDE GELLERSEN MBH,REPPENSTEDT,DE,6820,LF,1,SAMTGEMEINDE GELLERSEN,DACHTMISSER STR. 1,21391,Lüneburg,Deutschland,53.2478422,10.3526609,Germany
