Name,Representative,Address,Latitude,Longitude,Country
Sylfen,Nicolas BARDI,Sylfen - 266 avenue de Savoie  38570 Le Cheylas,45.383659,5.997274,France
Association Française des Gaz Comprimés,Frederic Fillet,14 rue de la République - Le Diamant A 92800 Puteaux,48.8866288,2.2445769,France
Alca Torda Applications,Isabelle TICOS,Centre d'Affaires Laroiseau - 1 rue Anita Conti - 56000 VANNES,47.6675882,-2.7841722,France
VDN H2,Nicolas UGALDE,4 avenue Laurent Cély 92600 ASNIERES SUR SEINE,48.9166573,2.3093804,France
SWAGELOK,Patrick Candala,"SWAGELOK LYON : Adresse : 4 rue Armand Peugeot, 69740 Genas - Mail : info@lyon.swagelok.com - 04 72 37 05 70   SWAGELOK PARIS : Adresse : 24 avenue de la Baltique, 91140 Villebon sur Yvette - Mail : info@swagelokparis.fr - 07 56 79 71 42",,,
LEMTA,Heathcliff DEMAIE,ENSEM - 2 Avenue de la Forêt de Haye - TSA 60604 54518 Vandoeuvre-lès-Nancy cedex,48.655432,6.133008,France
SNCF,Vincent DELCOURT,"Immeuble Le Jade, 1/3 avenue François Mitterrand 93210 LA PLAINE SAINT-DENIS",48.9180352,2.3565611,France
Gen-Hy,LE POLLES,"RUE DE LA SOIE, LOTS A5-A7 BP 881 94551 ORLY-AEROGARE CEDEX",48.735446,2.376101,France
SYNDICAT DEPARTEMENTAL D'ENERGIES DU TARN-TE81,Marialis GIRAUD BILLOUD,2 rue Gustave Eiffel – Zone Albitech 81000 ALBI,43.917669,2.16254,France
STEP-HYPE,Mathieu GARDIES,PARIS,48.71081305,2.207514769933362,France
CCI du Var,Hervé MOINE,Parc d’Activités du Plateau de Signes Centre de Vie - 429 Avenue de Paris 83870 SIGNES,43.260303,5.795442,France
Syndicat Mixte des Transports Artois-Gohelle,Fabrice SIROP,39 rue du 14 juillet 62000 Lens,50.4308313,2.8367879,France
Région Normandie,Mathilde BELHACHE,"Abbaye-aux-Dames, Place Reine Mathilde, CS 50523 14035 CAEN CEDEX 1",49.186593,-0.35391,France
LHYFE,Nolwenn Belleguic,182 rue Paul Bellamy 44000 NANTES,47.2309832,-1.5638083,France
ArianeGroup,Veyry Sébastien,Site du Haillan 33166 33166 Saint-Médard-En-Jalles,,,
Capenergies,Anne-Marie Perez / Sylvain Bremond,"Bât. Henri Poincaré Domaine Petit Arbois, Avenue Louis Philibert - CS 30658 13547 AIX EN PROVENCE CEDEX",43.516302,5.501305,France
TOP INDUSTRIE,José Taborda,79 rue Marinoni 77013 Vaux-le-Penil,48.535729,2.692933,France
PROVIRIDIS,Marc Buffenoir,135 Avenue Victoire 13790 Rousset,43.473604,5.609149,France
John Cockerill,Raphael Tilot,"1 rue Jean Potier 4100 Seraing, Belgique",,,
Terega,Marie-Claire Aoun,8 rue de l 'Hôtel de Ville 92200 NEUILLY SUR SEINE,48.8833602,2.2687767,France
Coénove,Bernard Aulagne,8 Terrasse Bellini 92800 Puteaux,48.886425,2.251741,France
H2SYS,Théophile Habermacher,19 rue Becquerel 90000 BELFORT,47.6437391,6.8436348,France
Morbihan Energies,Jo BROHAN,27 rue de Luscanen 56010 VANNES,47.6575312,-2.8041714,France
Redon Agglomération,Christophe BIDAUD,3 rue Charles Sillard 35600 Redon,47.6530372,-2.0931171,France
Région Nouvelle-Aquitaine,Gérard MAJEWSKI,"27, boulevard de la Corderie 87000 Limoges",45.8283074,1.2641001,France
Région Occitanie / Pyrénées-Méditerranée,Benjamin FEVRE,AD'OCC  La Cité - 55 avenue Louis Bréguet  31400 Toulouse,43.5770571,1.4790335,France
Collectivité européenne d'Alsace,Caroline Duong,100 Avenue d'Alsace BP 20351 68006 Colmar Cedex,48.0707949,7.3649904,France
Keolis,Bruno Lapeyrie,"116, cours Lafayette 69000 Lyon",45.7634824,4.8510226,France
CESAME-EXADEBIT,Henri Foulon,43 rue de l'Aérodrome 86000 Poitiers,46.586097,0.314484,France
Syndicat Mixte des Transports Urbains de Pau,Lucie Kempf,"Hôtel de France - 2, bis place Royale 64000 Pau",43.2914208,-0.3775933,France
Maximator-France,Christophe MONY,17 rue Parmentier 60290 Rantigny,49.324757,2.447303,France
Région Centre Val de Loire,"9 rue Saint-Pierre Lentin
45000 Orléans",9 rue Saint-Pierre Lentin 45000 Orléans,47.9011359,1.9095813,France
Région Bourgogne-Franche-Comté,"17 boulevard de la Trémouille
21000 Dijon",17 boulevard de la Trémouille 21000 Dijon,47.32595,5.0420325,France
Trifyl,Alex De Nardi,Route de Sieurac 81300 Labessière-Candeil,43.779505,2.049283,France
NORMANDIE ENERGIES,Valerie Rai-Punsola,C/o INSA Rouen Avenue de l’Université  BP 08 76800 Saint-Etienne-du-Rouvray,49.38491685,1.0720751301956055,France
Communauté de communes Touraine Vallée de l'Indre,Alain Esnault,"ZA ISOPARC, 6 place de Saint-Exupéry 37250 Sorigny",47.256613,0.693145,France
Région Hauts-de-France,Pierrick Allossery,151 Avenue du président Hoover 59555 Lille,50.6298965,3.0783251,France
BERHY,Guy Riolet,,16.3876268,73.7308816,
TotalEnergies,Vincent BORDMANN,Tour Coupole - 2 place Jean Millier 92078 Paris la Défense cedex,48.892403,2.242189,France
Hyundai,Jean NELSON,71 boulevard National La Garenne Colombes 92250 La Garenne Colombes,48.9059703,2.2385448,France
Réseaux Gaz naturel de Strasbourg (R-GDS),Olivier PISANI,"14, place des Halles 67000 Strasbourg",48.58739,7.7424979,France
RATP,Côme Berbain,54 quai de la Rapée 750012 Paris,48.842793,2.371999,France
Métropole Aix-Marseille-Provence,Béatrice ALIPHAT,"58, boulevard Charles Livon 13007 Marseille",43.292154,5.359134,France
EVOLEN,Romain PROVOST,39/41 rue Louis Blanc - CS 30080 92038 La Défense cedex,,,
Hydrogen Advisors,Raphaël SCHOENTGEN,Paris,48.71081305,2.207514769933362,France
Communauté d'Agglomération Caux Vallée de Seine,Marie-Annick LEROY,Allée de Catillon 76170 Lillebonne,49.521605,0.538512,France
Sakowin,Gérard Gatt,76 via Nova 83600 Fréjus,43.465801,6.731973,France
Le Mans Métropole,Patrick MAHOUE,"16, avenue François-Mitterrand, au Mans 72039 Le Mans",48.0050185,0.1996659,France
ENERKA,Karel HUBERT,"1 Rue Conrad Killian, 38950 Saint-Martin-le-Vinoux",45.206401,5.708801,France
NATUREO FINANCE,Christophe Rouvière,21 rue du Faubourg Montmartre 75009 PARIS,48.8731246,2.3429397,France
Blunomy Advisory,Matthew CLEARY,17-21 rue Saint-Fiacre 75002 Paris,,,
Hynamics - Groupe EDF,Christelle Rouillé,Carré Vert - rue Kléber 92300 Levallois-Perret,48.894027,2.284354,France
SAFRA,Jean-Christophe HOGUET,5 rue Copernic 81000 ALBI,43.917997,2.094143,France
Semardel,Denis DUPLESSIER,Ecosite Vert-le-Grand / Echarcon 91810 Vert-le-Grand,,,
Fabrication Conception et Essais (FCE),DAVID FLESIA,10 rue Jacques de Vaucanson 13500 Martigues,43.392824,5.035583,France
ENERTRAG,Département Hydrogène/Power-to-X,"9, mail Gay-Lussac 95000 Neuville sur Oise",49.014421,2.076547,France
Région Bretagne,LE MENN Maximilien,"283, avenue du général Patton 35000 Rennes",48.1347358,-1.6602951,France
Storengy,Yannick BONIN,12 rue Raoul Nordling 92200 Bois-Colombes,48.905715,2.264213,France
Automobile Club de l'Ouest (ACO),Pierre FILLON,Circuit des 24 Heures du Mans 72000 Le Mans,47.94702100000001,0.208726214127464,France
Ecole Nationale Sup. des Officiers de Sapeurs-Pompiers (ENSOSP),Lieutenant-colonel Laurent LECOMTE,1070 rue Lieutenant Parayre 13001 Aix-en-Provence,43.502295,5.361026,France
EODev (Energy Observer Developments),Jérémie Lagarrigue,27 Quai Duguay-Trouin 35400 SAINT-MALO,48.651923,-2.0148272,France
Siemens Energy,Houcine Hamdi,40 avenue des fruitiers 93527 Saint-Denis Cedex,48.92062,2.355079,France
HRS - Hydrogen Refueling Solutions,Olivier Dhez,Zone Artisanale des Viallards 38560 Champ-sur-Drac,45.064758,5.723876,France
GAUSSIN,Christophe Gaussin,11 rue du 47eme régiment d'artillerie 70400 HERICOURT,47.57293,6.754007,France
GEOMETHANE,Jean-Michel NOE,"2, rue des Martinets 92569 RUEL-MALMAISON",,,
VINCI ENERGIES,Geoffroy Deygas,"2169 Bd de la Défense, 92000 Nanterre",48.896916,2.229278,France
FillnDrive,Gilles Bourrat,130 rue Charenton 75012 PARIS,48.8459896,2.3795371,France
Pôle de Compétitivité DERBI,Isabelle GUICHARD,52 avenue Paul Alduy 66860 PERPIGNAN,42.6831667,2.900187,France
Valorem,Benjamin Le Gourierec,213 COURS VICTOR HUGO 33130 Bègles,44.8065873,-0.5597652,France
Région Sud / Provence-Alpes-Côte d’Azur,Anne CLAUDIUS-PETIT,Hôtel de Région - 27 place Jules Guesde 13000 Marseille,43.302286,5.374139,France
Région Ile-de-France,Yann WERHLING,"2, rue Simone Veil 93400 Saint-Ouen",48.912395,2.331462,France
Région Pays-de-la-Loire,Roland Marion,"1, rue de la Loire 44000 Nantes",47.2112644,-1.5259812,France
Transdev,Guillaume MILLER,3 Allée de Grenelle 92130 ISSY-LES-MOULINEAUX,48.8278064,2.2641219,France
ABB,Sébastien Meunier,"324, Rue du Chat Botté, CS20400 Beynost 01708 Miribel CEDEX",45.829422,4.991012,France
Montpellier Méditerranée Métropole,Fabien Blasco,50 place Zeus - CS 39556 34961 Montpellier cedex 02,43.5666759,3.8360691,France
HYCCO,Romain Di Costanzo,Incubateur IMT Mines d’Albi 81000 Albi,43.92209015,2.1780865993744323,France
Grand Port Maritime de Nantes Saint-Nazaire,Lucie Trulla,"18 quai Ernest Renaud, BP 18609 44186 Nantes Cédex 4",47.2055435,-1.5745678,France
ENSI Poitiers,Anthony Thomas,"Bâtiment B1, 1 rue Marcel Doré 86703 Poitiers Cedex 9",46.56847569999999,0.3838584530010254,France
Gaiadis,Hervé Buchert,"Bâtiment ARCOOP, 114 avenue de la Forêt 26000 Valence",44.918805,4.919927,France
Région Auvergne-Rhône-Alpes,Laurence Minne,1 esplanade François Mitterand 69269 Lyon Cedex 2,44.999753,10.735072,Italy
QAIR,"Jerome Billerey,","7Center - Immeuble l’altis - 521, rue Georges Méliès 34000 Montpellier",43.6059233,3.9204367,France
MGH,RICHARD Laurent,771 Avenue Alfred Sauvy - Les Corollys - 34470 PEROLS,43.579314,3.939569,France
ETNA INDUSTRIE,Thierry Beauchataud,8 rue grande ceinture 95100 Argenteuil,48.94938,2.260613,France
Oxygn,Marc Maionchi,6 rue trinquet 13002 Marseille,43.3004868,5.3715099,France
REGAZ-BORDEAUX,Anne-Florence CASTAING,211 Avenue Labarde 33070 Bordeaux Cedex,44.884427,-0.549937,France
EMITECH,Julien Floch,3 avenue des coudriers 78180 Montigny le Bretonneux,48.777003,2.020222,France
Emerson,Jérôme Desmoulieres,8 Impasse La Madelon 69800 Saint Priest France,45.7109835,4.9172053,France
Tours Métropole,Marc Kuntz,60 avenue Marcel Dassault 37206 Tours Cedex 3,47.3640004,0.6770911,France
DAM Group,Pierre PACOT,200 rue Léon Blum 69100 Villeurbane,45.762757,4.912945,France
Arkema France,Jean-Paul Moulin,420 Rue d'Estienne d'Orves 92700 Colombes,48.9086455,2.2295618,France
Vallourec,Vincent Designolle,12 rue de la Verrerie 92190 Meudon,48.820605,2.233734,France
Schlumberger,Olivier Peyret,42 rue Saint Dominique 75007 Paris,48.8599936,2.3109038,France
MOBHY,Jean-Michel Sylvestre,3 Place du Général de Gaulle 88000 Epinal,48.1791304,6.4413515,France
ATESyn,Claire-Emmanuelle Mercier,NAVASOL - EcoCentre d’Affaires - ZI Les Pignès Lot 28 09270 Mazères,43.227164,1.633501,France
Kouros France,Florent Bergeret,33 rue Galillée 75116 Paris,,,
METRA,Yannick Couturier,"15 Rue Gustave Eiffel, ZI Jarny Giraumont 54800 Jarny",49.155404,5.904076,France
H2TEAM,Nicolas Daudou,SEM EVEER'HY'PÔLE Bureau aérodrome d'Albi-Le Séquestre Circuit d’Albi 81990 LE SEQUESTRE,43.914786,2.1186274684747475,France
France Nouvelles Energies,Luc Poyer,40 rue Philibert Delorme 75017 Paris,48.88927,2.303582,France
AER Bourgogne-Franche-Comté (Agence Economique),Nathalie LOCH,46 avenue Villarceau  25 000 BESANCON,47.238286,6.014106,France
Norton Rose Fulbright,Anne Lapierre,40 rue de Courcelles 75008 Paris,48.8759634,2.3084421,France
Bureau Veritas Exploitation,Clément Poutriquet,"Le triangle de l'Arche, 8 cours du triangle 92937 La Défense Cedex",48.894244,2.236518,France
CIAM Europe Technologies,François Lefebvre,2 rue de la fonderie 44475 Carquefou,47.2665491,-1.4881299,France
Commune de Châteauneuf,Bernard Laget,218 Route du BAJARD 42800 CHATEAUNEUF,45.504984,4.615495,France
Elcimai,Francis PELMONT,3 rue de la brasserie Gruber 77000 Melun,48.526621,2.652735,France
Gazel Energie,Camille Jaffrelo,9 rue du débarcadère 92700 Colombes,48.9077068,2.232585,France
Kalliopé,Jocelyn Duval,98 Boulevard Malesherbes 75017 Paris,48.8814558,2.312079,France
Pôle de Plasturgie de l'Est,Mathieu Monville,"Bâtiment C2, Europort 57500 SAINT-AVOLD",49.140058,6.6967,France
Université de Corse,christian Cristofari,"Centre Scientifique de Vignola, Route des Sanguinaires 20000 AJACCIO",41.907408,8.678058,France
45-8 Energy,Thomas Guermont,4b rue François de Curel 57000 Metz,49.112029,6.177191,France
Pôle de Compétitivité S2E2,Jérôme Finot,PÔLE S2E2 - C/O ST MICROELECTRONICS 10 Rue Thalès de Milet 37071 TOURS CEDEX 2,47.431274,0.690589,France
REUNIR,Eric Ritter,81 rue saint Lazare 75009 Paris,48.8759316,2.3303682,France
Ingérop,Thomas Chambon,"11 Rue Verte, 63118 Cébazat",45.838709,3.117889,France
LAA France,Benoît Bouras,"Parc de Bachasson, bât C, Rue de la carrière de Bachasson 13590 MEYREUIL",,,
TechnipEnergies,Sébastien Viale,6-8 Allée de l’Arche 92973 Paris,,,
LNE,Soraya Amarouche,"1, rue Gaston Boissier 75724 PARIS Cedex 15 75724 Paris Cedex 15",48.829435,2.295313,France
Normandie Maritime,delphine lefrancois,8 rue leopold sedar senghor 14460 colombelles,49.18885,-0.304901,France
GIP Chemparc,Patrice Bernos,Bâtiment Chemstart‘Up – Allée Le Corbusier – Pôle 2 64170 LACQ,,,
SIEIL Indre-et-Loire,Sophie Nicolas,12-14 rue Blaise Pascal 37013 Tours Cedex 1,47.388653,0.692934,France
Laboratoire Cofix,Roger Serra,3 rue de la Chocolaterie 41000 BLOIS 41000 Blois,47.5839987,1.3249050985742623,France
BE green,Manon Lacaze,55 Rue Tabuteau 78530 Buc,48.7635082,2.1234302,France
SPAC,Gil Vilaça,Immeuble Axe Seine – 1 rue du 1er mai 92752 Nanterre Cedex,48.908478,2.212569,France
Valeco,Daniel VOJDANI,188 rue maurice béjart 34184 MONTPELLIER,43.6182105,3.824024,France
Antelia,Guillaume Trutt,ZA des Grandes Terres – 1305 Route de Lozanne 69380 Dommartin,45.8365597,4.6946382,France
NAE Normandie,Samuel Cutullic,745 avenue de l’université – Bâtiment CRIANN 76800 St Etienne du Rouvray,49.3853189,1.0695057028442645,France
ARTIS,Christophe Defresne,"Parc d'Activité des Estuaires, 309 avenue Lavoisier 44590 Derval",47.6447023,-1.6622592,France
Bretagne Développement Innovation,Philippe des Robert,1BIS ROUTE DE FOUGÈRES,47.498378,1.440557,France
CARA,Rémi Berger,1 Boulevard Edmond Michelet 69372 Lyon Cedex 8,45.732974,4.87872,France
FNTP,Dominique Chevillard,3 rue de Berri 75008 Paris,48.8718672,2.3029523,France
Lannion-Trégor Communauté,Florent Boudin,1 rue Gaspard Monge 22300 Lannion,48.7552166,-3.4517145,France
MAN Energy Solutions France SAS,Nicolas Bulot,Avenue de Chatonay – porte 7 - BP 427 44615 Saint Nazaire Cedex,,,
MADIC Group,Fabrice Chapelain,5 Impasse des Tourmalines 44300 Nantes,47.2608072,-1.4970804,France
MINCATEC Energy,Emmanuel Bouteleux,1 Avenue de la Gare TGV CS 10600  90400 Meroux-Moval,47.585301,6.897936,France
Plug Power Europe,Devon Hyver,1 Place Paul Verlaine 92100 Boulogne-Billancourt,48.8286797,2.2404739,France
Pyrocontrole,Sélène Dangoisse,6 bis avenue du Docteur Schweitzer 69881 Meyzieu Cedex,45.759214,4.896738494763466,France
Qairos Energies,Jean Foyer,Lieu-dit Les Chênes 72540 Mareil-en-Champagne,47.968439,-0.160766,France
Watson Farley & Williams,Laurent Battoue,28 avenue Victor Hugo 75116 Paris,48.8720214,2.2905934,France
IFPEN,Stéphane HENRIOT,Etablissement de Paris : 1 à 4 avenue de Bois Préau - 92852 Rueil Malmaison Cedex / Etablissement de Lyon : Rond-point de l'échangeur de Solaize - BP 3 - 69360 Solaize,48.8766026,2.1736995,France
Air Products,Pascal Legrand,"45 avenue Victor Hugo Bâtiment 270, Parc des Portes de Paris 93300 Aubervilliers",,,
Alfa Laval,Christophe Leveque,97 avenue Borodine 69792 Saint Priest,,,
AXELERA,Frédéric Laroche,Rond-point de l’échangeur – Les Levées 69360 Solaize,,,
Cirtem,Nicolas Carrie,"4 Avenue Louis Blériot, ZA Val de Saune 31570 Sainte-Foy d’Aigrefeuille",43.549849,1.593045,France
Elyse Energy,Benoit Decourt,69 rue de la République 69002 Lyon,45.7592594,4.8351816,France
EURETEQ,Nicolas Azan,37 rue Clarac 65000 Tarbes,43.2383785,0.0710554,France
GSE,Lionel Legouhy,"Parc d’Activités de l’Aéroport 310, Allée de la Chartreuse - CS 50051 84005 Avignon",43.902231,4.897186,France
H2X Ecosystems,Stéphane Paul,20 rue Louis Blériot 35170 Bruz,48.048083,-1.747063,France
SteelHy,Sophie Catuogno,4 CHEMIN DU DRAC-ZI DE L’ARGENTIERE 38360 SASSENAGE,,,
SPIE Industrie,Christophe Dormois,"4, avenue Jean Jaurès TSA 70017 69551 Feyzin",45.670098,4.852995,France
Vinci Construction Grands Projets,Hugues Seutin,5 cours Ferdinand de Lesseps 92500 Rueil-Malmaison,48.888873,2.1664323,France
AIRBUS PROTECT,Pierre Secher,36 rue Raymond Grimaud 31700 Blagnac,43.6409955,1.3703129,France
Groupe ADP,Yannael Billard,1 rue de France 93290 Tremblay-en-France,49.009606,2.554942,France
GEOSEL,François Billard,2 rue des Martinets 92569 Rueil-Malmaison,48.8867489,2.165228,France
Arhyze,Mathieu Coustets,281 rue de Vaugirard 75015 Paris,48.839419,2.30157,France
ELOGEN,Jean-Baptiste CHOIMET,8 Av du Parana 91940 LES ULIS,48.680339,2.199973,France
Barriquand Heat Exchangers,Eric Pommier,9-13 rue Saint Claude 42300 Roanne,46.051678,4.072888,France
BCTG Avocats,Paul Elfassi,14 avenue Gourgaud 75017 Paris,48.8864464,2.2976787,France
FIVES,Robin LE CORRE,3 RUE DROUOT 750009 PARIS,48.872416,2.340163,France
REV/RETROFUTURE,Arnaud Pigounides,5 rue Cambon 75001 Paris,48.8665539,2.3253878,France
Pagoline Groupe,David BAUDET,Siège Social  3 Chemin des Pavillons 44800 SAINT HERBLAIN FRANCE,47.251969,-1.624745,France
GreenHy,Aurélie Gaudillère,81 rue de France 06000 Nice,43.6953009,7.2570888,France
La Plateforme Verte,Sylvie Perrin,9 rue Boissy d’Anglas 75008 Paris,48.8679395,2.3211581,France
Université Bretagne Sud,Marc JAOUEN,Université Bretagne-Sud 56100 Lorient,47.74200375,-3.3844048566298905,France
HYmpulsion,Jean-Christian Beaumont,59 rue Denuzière – CS 30018 69285 Lyon,45.742809,4.818124,France
ASA Hérault,Alain SZAFARCZYK,"Résidence le Rimbaud, Bât A, 577 Avenue du Professeur Louis Ravas 34080 Montpellier",43.6203981,3.8497157,France
Hynoé,Flavien PASQUET,"Les Docks, Atrium 10.2 Place de la Joliette 13002 Marseille",43.304477,5.366595,France
Urbasolar,Rémi Biron,75 Allée Wilhelm Roentgen 34000 Montpellier,43.6113108,3.9139055,France
Sud Robinetterie Industrie,Pascal Picard,279-305 Boulevard Danielle Casanova 13014 Marseille,43.334193,5.378315,France
Mestrole,Marc Lazzari,7 rue Gustave Eiffel ZI Jarny Giraumont 54800 Jarny,49.155404,5.904076,France
SGS,Marianne Kang,29 Avenue Aristide Briand 94110 Arcueil,48.8093427,2.3268665,France
Grand Port Maritime de Marseille,Stéphane Reiche et Sylvain Pichon,23 PLACE DE LA JOLIETTE 13002 MARSEILLE,43.304638,5.365541,France
DEMGY SPN,Nicolas JACQUEMIN,75 rue du rateau 93120 La Courneuve,48.924893,2.403701,France
ISTHY,Dominique Darne,1 rue de la gare TGV 90400 Meroux Moval,47.604036,6.871554,France
NOVARES,Jérôme Praizelin,9/11 Rue des Poissonniers  62300 Lens,50.454104,2.826387,France
BERIM,Didier Cachard,149 avenue Jean Lolive 93695 Pantin,48.8934298,2.4129427,France
BDR Thermea,Fabrice Shoshany,57 rue de la Gare 67580 Mertzwiller,48.8708633,7.677645,France
Sundyne International S.A.,Joël Heux,13-15 Boulevard Eiffel 21604 Longvic,47.282239,5.046225,France
Groupe GAMI,Sébastien Dabert,13 avenue du 24 Août 1944 69960 Corbas,45.6803602,4.9134951,France
Prebet & Fils,Benoit Prebet,14-16 rue Pierre Copel 42100 Saint-Etienne,,,
Eneralys,Franck Berger,36 avenue Hoche 75008 Paris,48.8757693,2.2993555,France
