Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country,Full Address
ІНТЕР-СИНТЕЗ ТОВ,БОРИСЛАВ,UA,4675,U1,33,MR MIHAYLO KAZIMIROVICH STARCHEVSKIY,"ВУЛ. ТРУСКАВЕЦЬКА 125, ЛЬВІВСЬКА ОБЛ.",82300,ЛЬВОВСКАЯ ОБЛАСТЬ,Ukraine,49.2845644,23.4428963,Ukraine,"ВУЛ. ТРУСКАВЕЦЬКА 125, ЛЬВІВСЬКА ОБЛ., 82300, ЛЬВОВСКАЯ ОБЛАСТЬ, Ukraine"
NOLEK AKTIEBOLAG,NORSBORG,SE,2651,U1,37,INDUTRADE AKTIEBOLAG,HANTVERKARVÄGEN 11,145 63,Stockholm,Schweden,59.171698,18.151643,Sweden,"HANTVERKARVÄGEN 11, 145 63, Stockholm, Schweden"
AZUR DISTILLATION,MAUBEC,FR,1101,NRF,n.v.,AZUR DISTILLATION,387 ROUTE DE CAVAILLON,84660,Vaucluse,Frankreich,43.865608,5.140628,France,"387 ROUTE DE CAVAILLON, 84660, Vaucluse, Frankreich"
JUMO ITALIA S.R.L.,SESTO SAN GIOVANNI,IT,4669,U1,16,M K.JOCHHEIM GMBH & CO,VIA GIOSUE' CARDUCCI 221/54,20099,Milano,Italien,45.531117,9.221901,Italy,"VIA GIOSUE' CARDUCCI 221/54, 20099, Milano, Italien"
LUENGO COLOR SLU,TERRASSA,ES,2012,U1,23,BROWIL COLOR GROUP SL.,"CALLE PISUERGA (POL. INDUSTRIAL SANTA MARGARIDA), 55",08223,Barcelona,Spanien,41.377611,2.112445,Spain,"CALLE PISUERGA (POL. INDUSTRIAL SANTA MARGARIDA), 55, 08223, Barcelona, Spanien"
CONRAD (CHATTERLEY) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D & E, WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom,"SUITES D & E, WINDRUSH COURT, BLACKLANDS WAY, OX14 1SY, Abingdon, Vereinigtes Königreich"
ILT TECNOLOGIE S.R.L.,PONSACCO,IT,2562,U1,50,LEMASS HOLDING S.R.L.,VIA TORINO 1,56038,Pisa,Italien,43.627502,10.620397,Italy,"VIA TORINO 1, 56038, Pisa, Italien"
AIR LIQUIDE BIOMETANO S.R.L.,MILANO,IT,2011,U1,17,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",VIA BISCEGLIE 66,20152,Milano,Italien,,,Italy,"VIA BISCEGLIE 66, 20152, Milano, Italien"
PLUG POWER EUROPE,PARIS,FR,4669,U1,n.v.,PLUG POWER INC,109 BOULEVARD PEREIRE,75017,Paris,Frankreich,48.8858029,2.2995186,France,"109 BOULEVARD PEREIRE, 75017, Paris, Frankreich"
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗСБЫТСЕРВИС,САРАТОВ,RU,4950,U1,62,ZHIDKOVA IRINA VLADIMIROVNA,"УЛ. ШЕЛКОВИЧНАЯ ЗД 177, СТР 2",410071,Саратовская область,Russische Föderation,51.53937,45.976302,Russia,"УЛ. ШЕЛКОВИЧНАЯ ЗД 177, СТР 2, 410071, Саратовская область, Russische Föderation"
INTELLIGENT ENERGY LIMITED,LOUGHBOROUGH,GB,7219,C1,213,NINEVEH TRUST,"CHARNWOOD WING, HOLYWELL PARK, ASHBY ROAD",LE11 3GB,Loughborough,Vereinigtes Königreich,52.76173595,-1.2585019006425902,United Kingdom,"CHARNWOOD WING, HOLYWELL PARK, ASHBY ROAD, LE11 3GB, Loughborough, Vereinigtes Königreich"
RED BULL ADVANCED TECHNOLOGIES LIMITED,MILTON KEYNES,GB,2932,U1,70,RED BULL GMBH,"MK7 BUILDING BRADBOURNE DRIVE, TILBROOK",MK78AZ,Milton Keynes,Vereinigtes Königreich,52.00800975,-0.689985638104111,United Kingdom,"MK7 BUILDING BRADBOURNE DRIVE, TILBROOK, MK78AZ, Milton Keynes, Vereinigtes Königreich"
RENEWABLE UK ASSOCIATION,LONDON,GB,9411,C2,41,,THE CONDUIT 6 LANGLEY STREET,WC2H 9JA,London WC2H,Vereinigtes Königreich,51.5131982,-0.1251689,United Kingdom,"THE CONDUIT 6 LANGLEY STREET, WC2H 9JA, London WC2H, Vereinigtes Königreich"
M.P. MONDINO - S.R.L.,ASTI,IT,3523,U1,7,M.P. MONDINO - S.R.L.,VIA DEL LAVORO 23,14100,Asti,Italien,44.903507,8.231738,Italy,"VIA DEL LAVORO 23, 14100, Asti, Italien"
KEPSTON HOLDINGS LIMITED,WEDNESBURY,GB,2562,C1,68,MR BRENT DOUGLAS MILLAGE,UNITS 13-15 WESTERN WAY,WS10 7BW,Wednesbury,Vereinigtes Königreich,52.55921545,-2.0585409587039805,United Kingdom,"UNITS 13-15 WESTERN WAY, WS10 7BW, Wednesbury, Vereinigtes Königreich"
FILL UP MEDIA,LYON,FR,7312,C2,49,,139 RUE VENDOME,69006,Rhône,Frankreich,45.7649587,4.8460503,France,"139 RUE VENDOME, 69006, Rhône, Frankreich"
АКЦИОНЕРНОЕ ОБЩЕСТВО РЕАТЭКС,МОСКВА,RU,2013,U1,79,,УЛ. УГРЕШСКАЯ Д. 33,115088,г.Москва,Russische Föderation,55.7122964,37.68914432852761,Russia,"УЛ. УГРЕШСКАЯ Д. 33, 115088, г.Москва, Russische Föderation"
CONRAD (MIDDLEWICH) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D & E, WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom,"SUITES D & E, WINDRUSH COURT, BLACKLANDS WAY, OX14 1SY, Abingdon, Vereinigtes Königreich"
PARQUE EOLICO PERALEJO SA,MADRID,ES,3511,U1,n.v.,"ACCIONA, SA","AVENIDA GRAN VIA DE HORTALEZA, 1",28033,Madrid,Spanien,40.4686982,-3.6577941,Spain,"AVENIDA GRAN VIA DE HORTALEZA, 1, 28033, Madrid, Spanien"
PETROLEUM OIL & GAS ESPAÑA SA,MADRID,ES,0910,U1,20,NATURGY ENERGY GROUP SA.,"AVENIDA AMERICA, 38",28028,Madrid,Spanien,40.441417,-3.66602,Spain,"AVENIDA AMERICA, 38, 28028, Madrid, Spanien"
DEURING GMBH & CO KG,HÖRBRANZ,AT,4675,U1,15,,SEESTRAßE 10,6912,Vorarlberg,Österreich,47.535021,9.738313,Austria,"SEESTRAßE 10, 6912, Vorarlberg, Österreich"
APOLLINARIS BRANDS GMBH,BERLIN,DE,4634,U1,n.v.,COCA-COLA COMPANY (THE),STRALAUER ALLEE 4,10245,Berlin,Deutschland,52.50076555,13.452043349999997,Germany,"STRALAUER ALLEE 4, 10245, Berlin, Deutschland"
CELL IMPACT AB (PUBL),KARLSKOGA,SE,2711,C2,110,CELL IMPACT AB (PUBL),KÄLLMOSSVÄGEN 7 A,691 52,Örebro,Schweden,,,Sweden,"KÄLLMOSSVÄGEN 7 A, 691 52, Örebro, Schweden"
CONRAD (BISPHAM) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY, OX14 1SY, Abingdon, Vereinigtes Königreich"
VISA S.R.L.,GROPELLO CAIROLI,IT,2030,U1,19,,VIA BERGAMO,27027,Pavia,Italien,45.172566,8.994023,Italy,"VIA BERGAMO, 27027, Pavia, Italien"
ИННОВАЦИЯ,ВОРОНЕЖ,RU,2013,U1,22,,УЛ.25 ОКТЯБРЯ Д.31 КАБ 100,394000,Воронежская область,Russische Föderation,51.66474955,39.21056861737108,Russia,"УЛ.25 ОКТЯБРЯ Д.31 КАБ 100, 394000, Воронежская область, Russische Föderation"
ЧАСТНОЕ ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКОЕ УЧРЕЖДЕНИЕ САНАТОРИЙ ХИЛОВО,Д. ХИЛОВО,RU,8690,U1,369,ПСКОВСКИЙ РЕГИОНАЛЬНЫЙ СОЮЗ ОРГАНИЗАЦИЙ ПРОФСОЮЗОВ ПСКОВСКИЙ ОБЛАСТНОЙ СОВЕТ ПРОФЕСС,УЛ. ЦЕНТРАЛЬНАЯ Д. 1,182651,Псковская область,Russische Föderation,57.75706005,29.364888070386304,Russia,"УЛ. ЦЕНТРАЛЬНАЯ Д. 1, 182651, Псковская область, Russische Föderation"
CRI HF.,KÓPAVOGI,IS,7219,C1,26,CRI HF.,HOLTASMÁRA 1,201,Kópavogur,Island,-35.653419,137.641414,Iceland,"HOLTASMÁRA 1, 201, Kópavogur, Island"
BOLDRIN - S.R.L.,RUBANO,IT,4674,U1,12,,VIA PITAGORA 27,35030,Padova,Italien,45.422386,11.788351,Italy,"VIA PITAGORA 27, 35030, Padova, Italien"
MULTICHEM S.R.L.,RONCADE,IT,4612,U1,3,M.I.D.A. - S.R.L.,VIA PAOLO SARPI 10/A,31056,Treviso,Italien,45.626016,12.376081,Italy,"VIA PAOLO SARPI 10/A, 31056, Treviso, Italien"
"CENTRO TÉCNICO DE GÁS TORREJANO, UNIPESSOAL, LDA",RIACHOS,PT,4671,U1,16,MR ANTONIO MANUEL FERREIRA ROSA,"RUA ZONA INDUSTRIAL ESTE, LOTE 3",2350-376,Torres Novas,Portugal,39.471113,-8.548441,Portugal,"RUA ZONA INDUSTRIAL ESTE, LOTE 3, 2350-376, Torres Novas, Portugal"
COS.MO ITALIA SRL,CASTELNUOVO BOCCA D'ADDA,IT,2899,U1,19,MR FABRIZIO CAPELLI,VIA GIOVANNI MASSARI 3,26843,Lodi,Italien,45.111287,9.86327,Italy,"VIA GIOVANNI MASSARI 3, 26843, Lodi, Italien"
CONRAD (HEYBRIDGE) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY, OX14 1SY, Abingdon, Vereinigtes Königreich"
ITM POWER PLC,SHEFFIELD,GB,2790,C1,415,ITM POWER PLC,2 BESSEMER PARK,S9 1DZ,Sheffield,Vereinigtes Königreich,53.35601655,-1.4733274,United Kingdom,"2 BESSEMER PARK, S9 1DZ, Sheffield, Vereinigtes Königreich"
АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ПРОЕКТНО-КОНСТРУКТОРСКИЙ И ТЕХНОЛОГИЧЕСКИЙ АККУМУЛЯТОРНЫЙ ИНСТИТУТ ИСТОЧНИК,САНКТ-ПЕТЕРБУРГ,RU,2720,U1,161,MRS MARIYA VYACHESLAVOVNA YAKOVLEVA,УЛ. ДАЛЯ Д. 10,197376,г.Санкт-Петербург,Russische Föderation,59.9692971,30.29245227593991,Russia,"УЛ. ДАЛЯ Д. 10, 197376, г.Санкт-Петербург, Russische Föderation"
LAVORAZIONI AUSILIARIE CONCERIE S.R.L. (L.A.C.S.A.),ROSTA,IT,2059,U1,12,TRUMPLER GMBH E CO. CHEMISCHE FABRIK,STR ANTICA DI ALPIGNANO 46,10090,Torino,Italien,45.101914,7.6512,Italy,"STR ANTICA DI ALPIGNANO 46, 10090, Torino, Italien"
AIR LIQUIDE LIMITED,BIRMINGHAM,GB,2110,U1,10,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE","STATION ROAD, COLESHILL",B46 1JY,Birmingham,Vereinigtes Königreich,52.52843185,-1.8425769500000009,United Kingdom,"STATION ROAD, COLESHILL, B46 1JY, Birmingham, Vereinigtes Königreich"
SHELL EP OFFSHORE VENTURES LIMITED,LONDON,GB,0610,U1,n.v.,SHELL PLC,SHELL CENTRE,SE1 7NA,London SE1,Vereinigtes Königreich,51.5038502,-0.1167733632104527,United Kingdom,"SHELL CENTRE, SE1 7NA, London SE1, Vereinigtes Königreich"
HYDROGENPRO ASA,PORSGRUNN,NO,2790,C2,26,,HYDROVEGEN 6,3933,Porsgrunn,Norwegen,59.1294814,9.631111,Norway,"HYDROVEGEN 6, 3933, Porsgrunn, Norwegen"
FRANCE ETUVES,CHELLES,FR,2821,U1,22,MR PHILIPPE LEMBLE,65 RUE AUGUSTE MEUNIER,77500,Seine-et-Marne,Frankreich,48.8685805,2.589219267094017,France,"65 RUE AUGUSTE MEUNIER, 77500, Seine-et-Marne, Frankreich"
QUIMICAS MORALES SL,LAS PALMAS DE GRAN CANARIA,ES,4675,U1,41,,"CALLE MISIONES, 11",35008,Las Palmas,Spanien,28.1586036,-15.4224668,Spain,"CALLE MISIONES, 11, 35008, Las Palmas, Spanien"
ВЗОР,НИЖНИЙ НОВГОРОД,RU,2651,U1,176,,УЛ. ГЕРОЯ ЕЛИСЕЕВА Д.7 КВ.24,603009,Нижегородская область,Russische Föderation,56.26968905,43.98320721751215,Russia,"УЛ. ГЕРОЯ ЕЛИСЕЕВА Д.7 КВ.24, 603009, Нижегородская область, Russische Föderation"
LECO INSTRUMENTOS SL,TRES CANTOS,ES,4690,U1,21,WARREN CHISTOPHER,"PLAZA DE LA ENCINA, 10 NUCLEO 3 PISO 1 A",28760,Madrid,Spanien,,,Spain,"PLAZA DE LA ENCINA, 10 NUCLEO 3 PISO 1 A, 28760, Madrid, Spanien"
CONRAD (PURFLEET) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY, OX14 1SY, Abingdon, Vereinigtes Königreich"
EKSPRES GAS DOO RUMA,RUMA,RS,4671,U1,28,BRANKA JOKIC,AUGUSTA CESARCA 52,22400,Srem,Serbien,,,Serbia,"AUGUSTA CESARCA 52, 22400, Srem, Serbien"
ПРОИЗВОДСТВЕННОЕ РЕСПУБЛИКАНСКОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МОЛОДЕЧНЕНСКИЙ ЗАВОД ПОРОШКОВОЙ МЕТАЛЛУРГИИ,MOLODECHNO,BY,2550,U1,166,STATE INSTITUTION,UL. YA.KUPALY 130,222310,Молодечненский,Weißrussland,54.36822,26.836993,Belarus,"UL. YA.KUPALY 130, 222310, Молодечненский, Weißrussland"
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО РЫБИНСКГАЗСЕРВИС,РЫБИНСК,RU,3522,U1,292,Правительство Российской Федерации,ПР-КТ РЕВОЛЮЦИИ Д.3,152905,Ярославская область,Russische Föderation,52.31784,76.9160918560722,Russia,"ПР-КТ РЕВОЛЮЦИИ Д.3, 152905, Ярославская область, Russische Föderation"
GAMMACOLOR S.R.L.,SEVESO,IT,4673,U1,9,,VIA FEDERICO ZEUNER 5,20822,Monza e della Brianza,Italien,45.6496143,9.1397447,Italy,"VIA FEDERICO ZEUNER 5, 20822, Monza e della Brianza, Italien"
"ÂNGELO COIMBRA, S.A.",MAIA,PT,4675,U1,21,,"ZONA INDUSTRIAL DA MAIA I SECTOR IV, 10 LOTE 55 - ZONA INDUSTRIAL DA MAIA I SECTOR IV",4470-459,Maia,Portugal,38.74519085,-9.098122319205318,Portugal,"ZONA INDUSTRIAL DA MAIA I SECTOR IV, 10 LOTE 55 - ZONA INDUSTRIAL DA MAIA I SECTOR IV, 4470-459, Maia, Portugal"
DNE PHARMA AS,OSLO,NO,4646,U1,8,FARMA INVESTMENT AS,KARIHAUGVEIEN 22,1086,Oslo,Norwegen,59.940414,10.907547,Norway,"KARIHAUGVEIEN 22, 1086, Oslo, Norwegen"
UTP D. O. O.,PULA,HR,2011,U1,30,STICHTING AIRVISION,ULICA SV. POLIKARPA - VIA SAN POLICARPO 4,52100,Istarska,Kroatien,,,Croatia,"ULICA SV. POLIKARPA - VIA SAN POLICARPO 4, 52100, Istarska, Kroatien"
АКЦИОНЕРНОЕ ОБЩЕСТВО ТУРИСТСКО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС СУДАК,СУДАК,UA,8690,U1,200,,УЛ. ЛЕНИНА Д. 89,98000,КРЫМ АР,Ukraine,,,Ukraine,"УЛ. ЛЕНИНА Д. 89, 98000, КРЫМ АР, Ukraine"
COLOR QUIMICA SA,CASTELLBISBAL,ES,2012,U1,14,,"CALLE ARTESANS ((POL IND COMTE DE SERT)), 2 2-3",08755,Barcelona,Spanien,41.480526,1.984506,Spain,"CALLE ARTESANS ((POL IND COMTE DE SERT)), 2 2-3, 08755, Barcelona, Spanien"
REINERTSEN NEW ENERGY AS,TRONDHEIM,NO,7112,U1,27,TRE AS,HAVNEGATA 9,7010,Trondheim,Norwegen,63.4410603,10.4028198,Norway,"HAVNEGATA 9, 7010, Trondheim, Norwegen"
SIEĆ BADAWCZA ŁUKASIEWICZ - INSTYTUT CIĘŻKIEJ SYNTEZY ORGANICZNEJ BLACHOWNIA,KĘDZIERZYN-KOŹLE,PL,7219,U1,121,,ENERGETYKÓW 9,47-225,Kędzierzyńsko-Kozielski,Polen,50.361183,18.288097,Poland,"ENERGETYKÓW 9, 47-225, Kędzierzyńsko-Kozielski, Polen"
HYDROGENE DE FRANCE,LORMONT,FR,3511,C2,38,MR DAMIEN HAVARD,20 RUE JEAN JAURES,33310,Gironde,Frankreich,44.877314,-0.532404,France,"20 RUE JEAN JAURES, 33310, Gironde, Frankreich"
PROCESS SENSING TECHNOLOGIES PST GMBH,FRIEDRICHSDORF,DE,4778,U1,18,SPECIALTY MEASUREMENT TOPCO LIMITED,MAX-PLANCK-STR. 14,61381,Hochtaunuskreis,Deutschland,50.25915415,8.653598201730597,Germany,"MAX-PLANCK-STR. 14, 61381, Hochtaunuskreis, Deutschland"
AMEC FOSTER WHEELER ENERGY LIMITED,KNUTSFORD,GB,7112,U1,11,JOHN WOOD GROUP PLC,"BOOTHS PARK CHELFORD ROAD, CHESHIRE",WA16 8QZ,Knutsford,Vereinigtes Königreich,,,United Kingdom,"BOOTHS PARK CHELFORD ROAD, CHESHIRE, WA16 8QZ, Knutsford, Vereinigtes Königreich"
INDUSTRIAS QUIMICAS CUADRADO SA,VALVERDE DE LA VIRGEN,ES,4675,U1,9,CUADRADO CABELLO MARIA NIEVES,"CARRETERA VALVERDE DE LA VIRGEN A FRESNO CAMINO, S/N",24198,León,Spanien,,,Spain,"CARRETERA VALVERDE DE LA VIRGEN A FRESNO CAMINO, S/N, 24198, León, Spanien"
CRANFIELD AEROSPACE SOLUTIONS LIMITED,BEDFORD,GB,3030,U1,83,CRANFIELD AEROSPACE SOLUTIONS LIMITED,"TRENT HOUSE, (PART) 1ST FLOOR, UNIVERSITY WAY, CRANFIELD",MK43 0AN,Bedford,Vereinigtes Königreich,52.1438572,-0.4461065,United Kingdom,"TRENT HOUSE, (PART) 1ST FLOOR, UNIVERSITY WAY, CRANFIELD, MK43 0AN, Bedford, Vereinigtes Königreich"
LISARB ENERGY GROUP LIMITED,BARNSTAPLE,GB,6420,U1,n.v.,LISARB ENERGY GROUP LIMITED,"MEDIAN HOUSE FISHLEIGH COURT, FISHLEIGH ROAD",EX31 3UD,Barnstaple,Vereinigtes Königreich,51.0858784,-4.058029149999999,United Kingdom,"MEDIAN HOUSE FISHLEIGH COURT, FISHLEIGH ROAD, EX31 3UD, Barnstaple, Vereinigtes Königreich"
ATH,PARIS,FR,8129,NRF,37,M BOSCQ JEAN ROBERT,9 RUE ALEXANDRE DUMAS,75011,Paris,Frankreich,48.8530191,2.3896788,France,"9 RUE ALEXANDRE DUMAS, 75011, Paris, Frankreich"
ПРОИЗВОДСТВЕННАЯ ФИРМА ЛИВАМ,БЕЛГОРОД,RU,2660,U1,74,MR PAVEL ALEKSANDROVICH LITOVKA,ПР-КТ Б.ХМЕЛЬНИЦКОГО Д.134 А,308023,Белгородская область,Russische Föderation,52.3178023,76.9259611,Russia,"ПР-КТ Б.ХМЕЛЬНИЦКОГО Д.134 А, 308023, Белгородская область, Russische Föderation"
MULTI INDUSTRIEANLAGEN GMBH,AUE,DE,2511,U1,37,MR STEFAN GNICHTEL,ZSCHORLAUER STR. 56,08280,Erzgebirgskreis,Deutschland,50.585006,12.677126,Germany,"ZSCHORLAUER STR. 56, 08280, Erzgebirgskreis, Deutschland"
